name,salary,site,years,school,tags,updateTime,companyName,jobDemand,companyInfo,address,url
python开发运维工程师,15-25K,上海,5-10年,本科,"[""Python"", ""JavaScript"", ""C++"", ""Shell"", ""CSS"", ""HTML"", ""SQL"", ""Python工程师""]",更新于：2020-11-05,平安科技,"[""1、计算机相关专业本科及以上、真实编程工作经验至少4年，学历学信网可查；"", ""2、精通分布式文件存储系统原理，有分布式存储系统运维开发经验优先，有seafile产品运维开发经验更佳；"", ""3、熟悉Linux操作系统、熟练编写shell，熟悉redis,elataticseach,http,MQ、熟悉sql编写，熟悉sql优化；"", ""4、熟悉Python语言、熟悉Django，等web开发框架,熟悉多线程，熟悉shell编程，有一定的项目部署经验更佳；"", ""5、了解c\\\\c++语言，能够读懂代码更佳，熟练掌握vuereacthtmlcssjs更佳。"", ""6、熟悉java开发更佳，有实际生产部署经验更佳。"", ""7、有一定的源码阅读经验，能够快速学习心的技术，能够阅读英文文档。"", ""8、熟悉分布式文件存储系统原理；有企业网盘运维经验"", ""任职要求："", ""1、负责研发运维工具，提升运维效率。"", ""2、帮助部署代码，承担一定的python代码开发"", ""3、负责大文件&文件云平台（企业网盘）的运维，保证高可用；""]",平安科技是平安集团旗下科技解决方案专家，致力于运用人工智能、云等技术赋能金融服务、医疗健康、汽车服务、房产服务、智慧城市五大生态圈。平安科技以“云无限”为价值主张，积极践行“科技改变生活”的企业理念，立志成为国际领先的“AI+云&rdquo,上海市浦东新区中国平安保险(集团)股份有限公司上丰路1288号2号楼C2区一楼,/job_detail/897d282daa17e4f233173966E1U~.html
Python开发,13-15K,上海,1-3年,本科,"[""Python""]",更新于：2020-11-06,文思海辉,"[""工作内容："", ""根据项目组需求，对已有的网站增加新的功能，bugfix等。"", ""职位要求："", ""1.有基本的计算机基础理论知识，熟悉常用数据机构与算法"", ""2.能熟练使用Python进行Web程序相关开发，掌握Django等相关框架"", ""3.熟悉MySQL等关系型数据库，熟悉SQL语言"", ""4.对TCP/IP,HTTP等常用协议有基本的了解，能完整叙述一次HTTP请求从客户端到服务器端所经过的各个环节"", ""5.熟悉ES6，有Vue.js/React/Angular至少其中一种的使用经验"", ""6.能够熟练使用Linux作为日常开发环境"", ""7.思路清晰、主动性强，有缜密的逻辑思维能力，快速的英文阅读能力及学习能力，良好的沟通能力""]","公司介绍
文思海辉技术有限公司，成立于1995年，汇聚了来自60个国家的29,000余名专业人士，在全球17个国家和地区设有分支机构和交付中心，为客户提供领先的数字化咨询、体验交互、技术实施与运营服务，是一家来自中国的全球性IT服务企业。
文思海辉技术有限公司拥有超强的全球运营能力、严格的质量标",上海市闵行区英特尔亚太区研发有限公司,/job_detail/c9ea11988ffd096533d-2ty_GFM~.html
Python开发工程师,12-23K,上海,经验不限,本科,"[""Python"", ""后端开发"", ""Python工程师"", ""JavaScript"", ""爬虫工程师"", ""大数据"", ""Java""]",更新于：2020-11-06,中软国际,"[""岗位要求："", ""１、负责Python自动化开发"", ""２、构建自动化脚本开发支撑库，提升自动化脚本开发效率"", ""３、负责指导业务团队自动化脚本开发，涉及UI界面类自动化"", ""4、本科以上学历，至少1年以上Python开发经验;"", ""5、熟悉Linux操作系统，TCPIP协议、HTTP协议;"", ""6、熟练掌握Python后端开发，掌握unitest测试框架，有测试代码开发经验优先;"", ""7、熟练掌握数据结构、算法及模式设计，有良好的编码风格及代码版本管理习惯;""]","中软国际有限公司（以下简称：中软国际）是中国领先的大型综合性软件与信息服务企业，成立于2000年，为香港主板上市公司，股票代码00354，员工约62,000人。面对当今互联网化，以及云计算、大数据的挑战，中软国际建立了线下与线上互动的业务结构（O2O）。
线下业务依托中软国际多年积累起来的传统",上海市浦东新区金桥万创中心E座1楼,/job_detail/b9bcc7cfe13f8f7b33J53tm9Flc~.html
Python开发岗,10-14K,北京,3-5年,本科,"[""Shell""]",更新于：2020-11-06,亿达信息,"[""此岗位为外派到360的岗位。项目稳定。"", ""岗位职责："", ""1、数据蜘蛛系统开发"", ""2、负责服务端业务开发"", ""3、业务逻辑开发、调优。"", ""4、日常学习培养，定期组内分享"", ""任职要求："", ""1.本科及以上学历，具有扎实的软件分析及开发、设计能力；"", ""2.精通python/shell编程，有良好的编程习惯，能够实现高效、可靠的代码；"", ""3.对软件工程深入理解，熟悉面向对象的分析和设计技术，熟悉linux平台；"", ""4.具有良好的沟通能力和独立解决问题的能力，有积极进取的创新精神；"", ""5.具有搜索相关/大并发/高性能系统开发经验，或具有深厚的算法基础理论知识者优先。"", ""优先录用条件："", ""有政府项目开发背景"", ""有搜索引擎开发能力有限""]",亿达信息技术有限公司（简称YIDATEC）创建于2006年，是中国领先、国际化的IT服务及数字化运营专家，致力于在数字化时代助力企业实现数据驱动的产品和服务。通过创新的技术和专业的解决方案，将企业IT系统和资产、业务流程与数据资产相结合，在企业运营、客户管理、产品提升等方面，满足企业的数字化、智能化,北京市朝阳区360大厦,/job_detail/d8ac2b0101d8bf6933150t--GFM~.html
python开发实习生,4-5K,北京,经验不限,本科,"[""Python""]",更新于：2020-10-09,爱奇艺,"[""基础知识扎实，对深度学习感兴趣"", ""负责训练模型测试"", ""负责基础推理服务的开发和测试"", ""时间上，尽量保证一周4天""]","TobecomeaTechnology-basedEntertainmentGiant
做一家以科技创新为驱动的伟大娱乐公司
品牌关键词
品质青春时尚
爱艺奇公司简介
爱奇艺，中国高品质视频娱乐服务提供者。2010年4月22日正式上线，积极推动产品、技术、内容、营",北京海淀区爱奇艺创新大厦,/job_detail/3ec3578b8fbc32851nJ43ti4EVQ~.html
Python开发实习生,150-200元/天,北京,4天/周,本科,"[""Django"", ""计算机软件""]",更新于：2020-11-05,好未来,"[""【岗位职责】"", ""1、\\t开发自动化工具与脚本，实现数据处理，AI模型调用等自动化工具链"", ""2、\\t开发restfulAPI接口，与前端集成"", ""3、\\t关注研发全流程的效率提升，实现持续持续构建、持续集成、持续交付等"", ""【任职要求】："", ""1、\\t22年毕业在校学生，计算机/信息/通信/软件工程/数学等相关专业者优先"", ""2、\\t每周可实习至少4天，连续6个月（必备）"", ""3、\\t熟悉python语言（必备），Django框架"", ""4、\\t会用python开发接口与脚本（必备）""]","好未来（NYSE：TAL）是一个以智慧教育和开放平台为主体，以素质教育和课外辅导为载体，在全球范围内服务公办教育，助力民办教育，探索未来教育新模式的科技教育公司。
目前好未来主要业务涉及智慧教育、教育开放平台，K12课外教育及海外留学等，旗下拥有多个教育品牌。业务与投资双轮驱动，目前已披露的投资项",北京海淀区科贸电子大厦七层,/job_detail/831b8c16a73024f80HZz39W0EVo~.html
Python开发工程师,20-40K,上海,3-5年,本科,"[""Python"", ""Hadoop"", ""Python工程师"", ""后端开发"", ""Django"", ""Flask"", ""软件工程师"", ""MySQL""]",更新于：2020-11-06,量锐科技,"[""岗位职责："", ""1.负责后台系统的开发"", ""2.优化系统在海量数据下运行速度"", ""3.优化HDFS,Impala,Hive的读写性能"", ""4.对历史数据进行清洗，转换"", ""职位要求："", ""1.计算机相关专业本科以上学历，2到8年python开发经验。"", ""2.精通Python，掌握Django框架，熟悉djangorestframework。"", ""3.熟悉MySQL或Oracle数据库。"", ""熟悉Hadoop生态，掌握HDFS、Hive、Impala使用方式优先。"", ""4.有其他Web后台使用经验或其他语言如Go，Java优先"", ""5.要求有海量数据处理经验""]",上海量锐信息科技有限公司是国内领先的量化交易系统提供商，致力于提供包含金融量化信息服务，量化咨询服务和技术开发的专业公司。公司团队规模近90人左右，皆为国内外量化致力于交易技术领域的数理背景人员、国外技术开发人才。在量化交易系统建设，金融数据分析&处理，交易模型搭建拥有丰富的实施经验。目前公,上海市黄浦区远洋商业大厦(西北门),/job_detail/12bfa9de3d56e9d903152ti9Flo~.html
python开发,12-24K·13薪,北京,经验不限,本科,"[""Python"", ""CSS"", ""HTML""]",更新于：2020-11-06,博乐科技,"[""位诱惑："", ""13薪，周末双休，项目奖金，福利好"", ""职位描述："", ""岗位职责："", ""1、负责运营后台的网站前后端维护及功能实现"", ""2、协助负责游戏服务端功能实现，性能优化等"", ""3、保证服务端的稳定性、可扩展性、安全性和效率"", ""4、相关的工具开发，相关文档的书写"", ""任职要求："", ""1、本科以上学历（211/985院校优先）"", ""2、熟悉python及相关的库，熟悉linux环境"", ""3、熟悉django，html，css"", ""3、熟悉多种数据库技术，包括MySQL，Redis，MongoDB等"", ""4、具备服务器性能及代码性能优化能力，具备高并发流量下的请求处理经验"", ""5、热爱游戏开发，高度的工作责任心，思维严谨，逻辑清晰，注重工作效率，具备技术难点攻关能力"", ""#福利待遇好，公司坏境nice，周末双休！996是不存在的，不断的零食水果and下午茶，奖金多多，各种技术大佬相互交流，公司产品荣登海外畅销榜和收入榜****00，发展前景广阔#""]","公司介绍：
北京博乐科技有限公司，成立于2014年，是一家已经在欧美市场立足并且是国内出海游戏的领先企业，我们专注于休闲游戏研发与运营，是美国市场前三大受欢迎的游戏类型。公司有2款游戏位列全球游戏收入排行榜前100。其中由公司研发并发行的游戏--CashFrenzyCasino长期占据收入排",北京市朝阳区暖山生活广场A座3层,/job_detail/3ee4531b1625d2a23nV-39u7ElU~.html
python开发测试工程师,8-10K,北京,1-3年,本科,"[""Python"", ""Shell""]",更新于：2020-11-04,华证永欣,"[""岗位职责："", ""1.负责区域内OCR项目支持工作，包括POC项目、交付项目；"", ""2.负责带领客户进行建模方案设计、项目实施、并进行项目管理，确保达成项目目标；"", ""3.赋能客户使用OCRSDK完成自动建模和模型上线"", ""任职要求："", ""1.具有一年以上python开发及测试经验，熟练掌握numpy等常用python库；"", ""2.计算机或相关专业，了解常用数据结构和算法；"", ""3.熟悉linux开发环境，会使用常见的shell命令；"", ""4.熟悉CLI，docker,git工具链；"", ""5.了解C/S架构，了解restfulapi规范，http协议；"", ""6.逻辑清晰，细心稳重，，责任心强，有较强学习能力；"", ""7.善于沟通，有耐心和助人为乐的精神；"", ""8.积极主动，能够在有限资源下追求最好的结果。"", ""加分项："", ""1.了解常⽤的图像处理技术，掌握opencv、pillow等图像处理库；"", ""2.了解图像领域的常⻅任务及其发展脉络；"", ""3.具有机器/深度学习框架的开发经验，如sklearn、xgboost、TensorFlow、PyTorch等；"", ""4.在GitHub上有1k+star的开源项目""]","北京华证永欣科技股份有限公司，成立于2016年12月，是一家专业的信息化系统服务供应商，以IT基础设施服务、行业解决方案与服务、IT运维服务为核心，形成了完善的IT业务集群，可为用户提供一体化的专业解决方案。
华证永欣一直将金融行业作为主要服务对象，客户包含",北京朝阳区嘉美中心,/job_detail/b03998740a421e5f0HNz3N6-GFY~.html
Python开发工程师,11-20K,北京,3-5年,本科,"[""Python"", ""数据库"", ""后端开发""]",更新于：2020-10-28,趣活科技,"[""提示："", ""主要工作内容："", ""1.负责同城智能协作配送SaaS产品PaaS系统开发和维护工作。"", ""2.负责基于k8s的基础服务系统开发。"", ""3.负责业务规则引擎和ApiEngine的研发。"", ""4.趣钱包等金融产品的研发"", ""岗位要求："", ""1.有激情爱学习愿意提升，愿意以创业心态做事。"", ""2.二年以上Python完整项目开发经验。"", ""3.Flask/Django/Tornado/Gevent/Nsq/ZeroRPC/ZeroMQ以上技术至少有2项以上的开发应用经验。"", ""4.熟悉NoSQL技术，如Redis／MongoDB等，有Mongokit／MongoEngine使用经验尤佳。"", ""加分项："", ""展示自己的Github项目。"", ""有自己的开源Python开发项目。"", ""熟悉TypeScript／Rust／Go等。""]",同城物流最具竞争力的服务商！,北京朝阳区通惠大厦D区3层,/job_detail/b073fa50dd733cb70XN-3d--GQ~~.html
Python开发工程师,25-40K·14薪,北京,经验不限,本科,"[""Python"", ""Javascript"", ""数据库""]",更新于：2020-10-09,旷视MEGVII,"[""岗位职责："", ""1.参与内部数据和测试平台的设计、开发与实现"", ""2.结合需求设计实现安全、稳定、易维护、易用的后台系统"", ""3.能够根据业务发展，对技术架构不断调整，持续优化"", ""任职要求："", ""1.计算机相关专业本科及以上,工作经验1年及以上"", ""2.有扎实的计算机基础，有良好的团队合作能力，善于沟通，并具备独立解决问题的能力"", ""3.熟悉linux环境，熟练掌握Python开发"", ""4.熟悉至少一种主流Pythonweb框架的使用，如Tornado,Flask,Django等"", ""5.熟练掌握JavaScript,熟练掌握至少一种常用前端框架，如React、AngularJs、Vue.js等"", ""6.熟练掌握数据的缓存和存储方案以及相关的开源组件，如MySQL,Redis,MongoDB等"", ""7.了解计算机视觉，机器学习或深度学习者优先""]",北京旷视科技有限公司成立于2011年，是全球领先的人工智能科技企业，以自研视觉感知算法引擎为核心，致力于持续打造在各商业领域的AIoT操作系统，以及深度构建具备连接百亿物联网设备能力的生态系统。旷视持续聚焦算法与工程创新，通过底层统一的AIoT操作系统（AIoTOS）建设，旷视正在为200,北京海淀区融科资讯中心A座,/job_detail/66a78e52eefd71050nZ509u5F1s~.html
Python开发工程师,20-25K·14薪,北京,3-5年,本科,"[""Python"", ""JavaScript"", ""HTML"", ""CSS"", ""搜索引擎技术"", ""MySQL"", ""Redis"", ""PostgreSQL""]",更新于：2020-11-01,章鱼风云,"[""重点提示：学历需是全日制统招，学信网可查，民办学校学历不考虑"", ""【岗位职责】"", ""1、负责体育比分产品后台系统和接口的研发，形成规范化的软件代码和单元测试文档；"", ""2、负责高质量的设计和编码工作，承担重点、难点的技术攻坚；"", ""3、负责系统的技术方案、技术架构的规划与实施，为业务的发展提供强有力的技术支撑；"", ""4、根据产品规划，制定后台系统的开发、交付计划，对交付结果负责；"", ""5、负责在线大流量高并发系统设计和性能调优。"", ""【任职要求】"", ""1、本科及以上学历，计算机、通信相关专业或理工科背景；"", ""2、具有良好的数据结构和算法基础，具备扎实的编程能力；"", ""3、3年以上开发项目经验，至少3年的Python开发经验，有异步编程开发经验；"", ""4、深入了解TCP/UDP协议，进程间通讯编程，熟悉各类服务器架构并能合理的应用；"", ""5、熟练掌握Python,Django/Tonado，MySQL/PostgreSQL，Redis等组件；"", ""6、了解前端相关技术，VUE、HTML、JS、CSS等；"", ""7、熟悉大数据相关工具ES者优先；"", ""8、独立思考，有产品意识，能提出系统改善和产品优化者优先。""]",公司核心团队来自原乐视体育，致力于开发原创体育社区平台,北京朝阳区第三置业,/job_detail/c4e045a7161910d20Xx439-9FlA~.html
Python开发工程师,25-40K·16薪,北京,5-10年,本科,"[""django"", ""后端开发"", ""全栈""]",更新于：2020-11-07,BOSS直聘,"[""岗位描述：运维自动化平台开发和一些软件的软件的二次开发。"", ""1.5年以上python开发经验"", ""2.精通使用django或其他web框架、熟悉tornado更佳；"", ""3.扎实的计算机系统、算法、数据结构基础；"", ""4.熟悉各种Web前端技术，包括HTML5、XML、Ajax、CSS、Javascript、JQuery等"", ""5.能够独立主导研发组系统级别的需求开发"", ""6.熟练使用mysql命令及相关工具、熟悉linux基本操作命令""]","BOSS直聘是一款在全球范围内率先发展移动互联网“直聘”模式的在线招聘App，于2014年7月13日上线，致力于为职场BOSS和求职者搭建高效沟通、信息对等的平台。
BOSS直聘产品的核心是“直聊+精准匹配”，通过将在线聊天功能引入招聘场景，让应聘者",北京朝阳区冠捷大厦(太阳宫中路),/job_detail/744936c479cc33141nBy39i6EVY~.html
Python开发工程师,12-24K,北京,经验不限,本科,"[""Python"", ""Java"", ""SQL"", ""C++"", ""分布式技术"", ""Oracle"", ""PostgreSQL"", ""Linux""]",更新于：2020-11-07,西安华为,"[""1、有一年及以上Python开发经验；"", ""2、有linux操作系统、数据库应用、分布式开发相关经验者优先；"", ""3、熟悉一种或多种数据库者优先，如Oracle、MySQL、DB2、Teradata、MongoDB等；""]","我们是华为，在成长的过程中，我们脚踏实地、奋勇向前。
我们一直专注于ICT领域，为运营商、企业客户和消费者提供有竞争力的ICT解决方案、产品和服务。
30年来我们不断积攒实力，如今已拥有来自全球170多个国家和地区的客户，全球三分之一的人口因华为受益。
我们为员工提供：
▲""",北京市海淀区华为北京研究所,/job_detail/1bf9ed8c4d8c561b1nR629q8GVBU.html
